locx,locy,dist,made
-160,220,27,1
-27,17,3,1
-12,275,27,0
18,16,2,1
200,235,30,1
212,162,26,0
24,55,6,0
22,18,2,0
-17,11,2,1
122,226,25,1
19,5,1,1
-40,101,10,0
-52,100,11,0
-6,28,2,0
214,132,25,0
25,263,26,1
-17,8,1,1
24,12,2,0
-223,104,24,1
163,200,25,1
18,8,1,0
6,260,26,1
-111,259,28,1
27,256,25,1
-212,132,24,1
-158,192,24,0
-9,19,2,0
147,323,35,0
150,205,25,0
-11,52,5,0
-3,25,2,1
-90,234,25,0
110,45,11,1
109,172,20,0
-8,17,1,0
-7,16,1,1
-3,4,0,1
-16,16,2,0
231,-3,23,0
-234,-31,23,1
-56,65,8,0
13,1,1,1
-95,236,25,0
145,205,25,1
-66,258,26,1
228,17,22,0
-11,11,1,0
-100,277,29,1
4,278,27,0
234,0,23,0
-16,0,1,0
133,215,25,0
-139,230,26,1
12,267,26,0
90,260,27,0
137,213,25,1
-106,179,20,0
-81,185,20,1
12,261,26,0
12,61,6,1
23,263,26,0
-234,62,24,0
-25,33,4,1
-141,206,24,0
-209,179,27,0
-125,237,26,0
-36,148,15,0
154,209,25,0
-44,25,5,1
124,251,27,1
145,239,27,0
166,200,25,1
-18,7,1,0
91,257,27,0
-200,185,27,1
-27,22,3,1
89,277,29,0
-15,273,27,0
27,47,5,0
165,205,26,0
-106,248,26,0
185,182,25,1
-93,264,27,1
-145,256,29,1
2,249,24,1
15,253,25,0
204,127,24,0
29,251,25,0
18,23,2,1
-9,12,1,1
86,235,25,1
-6,107,10,0
-14,2,1,1
2,4,0,0
-3,5,0,0
102,231,25,0
81,241,25,1
-8,6,1,1
69,239,24,0
60,277,28,0
-86,232,24,1
-9,17,1,1
127,230,26,0
-8,71,7,1
-16,261,26,1
201,168,26,0
8,267,26,0
-4,109,10,0
57,99,11,1
-113,101,15,0
-86,240,25,0
-51,269,27,0
-79,252,26,1
47,250,25,1
210,127,24,1
67,264,27,0
33,269,27,0
-168,214,27,0
-5,18,1,0
18,264,26,0
-9,10,1,1
114,247,27,1
-22,48,5,1
-35,60,6,1
116,222,25,0
-24,16,2,0
10,46,4,0
214,143,25,0
35,42,5,1
17,67,6,1
14,13,1,1
87,276,28,0
9,15,1,1
215,173,27,1
14,-1,1,0
45,262,26,0
147,216,26,0
104,245,26,0
-201,155,25,0
-4,19,1,1
-4,68,6,0
7,15,1,1
-12,22,2,1
4,36,3,1
93,248,26,0
-38,31,4,0
-8,265,26,0
4,37,3,0
-73,264,27,0
15,27,3,0
79,251,26,0
-77,236,24,0
-5,78,7,1
165,234,28,0
7,35,3,0
-4,29,2,1
-21,303,30,0
2,282,28,0
-15,25,2,1
-8,79,7,1
-103,268,28,0
50,250,25,0
1,29,2,1
8,17,1,0
98,241,26,0
9,50,5,1
121,231,26,0
5,31,3,1
14,36,3,1
202,162,25,0
9,16,1,1
8,100,10,1
-13,104,10,0
34,268,27,0
168,206,26,0
-38,62,7,0
82,247,26,0
1,17,1,0
101,256,27,0
-11,13,1,1
2,47,4,0
-28,68,7,0
-2,34,3,0
-84,260,27,0
-11,12,1,1
112,232,25,1
-2,18,1,1
154,220,26,0
